appTitle,userName,date,score,text,fileDate,appCategory,UID,contentRating,processed_text,word_length_processed,date2,date_year,date_month,Sentiment,Constructive_Score
Drink Water Reminder: Water Tracker & Alarm,UNAIS Mirza,2019-04-06 00:00:00,1,full of ads,2019-04-01,HEALTH AND FITNESS,2019-04-01_HEALTH_AND_FITNESS_8684,Everyone,full of ads,3,2019-04-06 00:00:00,2019,4,-5,0
Calorie Counter - MyFitnessPal,The Granger Girls,2019-04-23 00:00:00,3,A great app if used wisely. I have used it for years with an eating disorder and i dont feel that the app should allow you to set your goals to an underweight / undereating level when your weight is already so low. i appreciate the warnings are there on your app but that's just my observation.,2019-05-09,HEALTH AND FITNESS,2019-05-09_HEALTH_AND_FITNESS_17384,Everyone,A great if used wisely I have used it for years with an eating and i dont feel that the should allow you to set your goals to an underweight undereating level when your weight is so low i the warnings are there on your but that just my,49,2019-04-23 00:00:00,2019,4,3,0
Sweatcoin Pays You To Get Fit,SILVERCROW 246,2019-01-20 00:00:00,3,do we actually get money,2019-04-01,HEALTH AND FITNESS,2019-04-01_HEALTH_AND_FITNESS_32632,Everyone,do we actually get money,5,2019-01-20 00:00:00,2019,1,0,0
Samsung Health,,2019-03-09 00:00:00,3,"LG K2O V DEVICE, this app functions better where ALGORITHM is concerned for STEPS AND CYCLE. LG FIT LACKED ACCURACY BETWEEN THOSE TWO AND THEIR EMAIL REPLY MADE NO SENSE. I UPDATED THIS APP AND I HAVE 1 MORE TEST TO DO also I wished the colourful buffer occurs less when selecting from different sections of this app. I am confused I saw NAP. 🗣️Manage section have no LISTING📢",2019-03-24,HEALTH AND FITNESS,2019-03-24_HEALTH_AND_FITNESS_24574,Everyone,V functions better where ALGORITHM is concerned for STEPS AND FIT LACKED BETWEEN THOSE TWO AND THEIR MADE NO I AND I HAVE MORE TEST TO DO also I wished the colourful buffer occurs less when selecting from different sections of I am I saw NAP section have no,49,2019-03-09 00:00:00,2019,3,-1,8
Fitbit,Anon Anon,2019-04-11 00:00:00,3,suddenly very high Barry drain. please fix. otherwise good.,2019-04-14,HEALTH AND FITNESS,2019-04-14_HEALTH_AND_FITNESS_2481,Everyone,very high drain fix good,5,2019-04-11 00:00:00,2019,4,0,9
,Osama Maher,2019-04-22 00:00:00,3,"please help me, my mobile is jellybean 4.2.2 and it has problem with connection i can't sign in nor sign with facebook, i think this issue is related to the SSL connection",2019-05-01,HEALTH AND FITNESS,2019-05-01_HEALTH_AND_FITNESS_38898,,help me my is and it has problem with connection i ca sign in nor sign with i think is to the connection,23,2019-04-22 00:00:00,2019,4,0,8
,Whyck Darrickboi,2019-04-10 00:00:00,5,ggbg be i can't speak,2019-05-01,GAME ACTION,2019-05-01_GAME_ACTION_42287,,be i ca speak,4,2019-04-10 00:00:00,2019,4,0,0
Tomb of the Mask,h Hutt,2019-04-14 00:00:00,5,"Such a awesome game great graphics, &such bootiful art",2019-05-09,GAME ACTION,2019-05-09_GAME_ACTION_19805,Everyone,Such a game great graphics such art,7,2019-04-14 00:00:00,2019,4,5,3
PUBG MOBILE,,2019-03-08 00:00:00,5,Its awesome to play and very brilliant game.There is no other game like pubg JAI PUBG,2019-03-08,GAME ACTION,2019-03-08_GAME_ACTION_6497,Teen,Its to play and very brilliant is no other game like,11,2019-03-08 00:00:00,2019,3,5,0
Battle Royale: FPS Shooter,GRAND_ Zinx,2019-04-16 00:00:00,5,can you guys put more moving while parushootimg,2019-05-09,GAME ACTION,2019-05-09_GAME_ACTION_38802,Teen,can you guys put more moving while,7,2019-04-16 00:00:00,2019,4,4,6
Kick the Buddy,Maria Navarro,2019-03-08 00:00:00,5,this is a fun game to play if you're borad mad or stressed,2019-03-08,GAME ACTION,2019-03-08_GAME_ACTION_28970,Teen,is a fun game to play if you mad or stressed,11,2019-03-08 00:00:00,2019,3,5,0
Snowball.io,,2019-03-21 00:00:00,4,Very fun game. A game that my friend suggested to me and a game that I will recommend to others.,2019-03-24,GAME ACTION,2019-03-24_GAME_ACTION_42469,Everyone,Very fun game A game that my friend suggested to me and a game that I will recommend to others,20,2019-03-21 00:00:00,2019,3,5,0
PUBG MOBILE,xbreze7x legend,2019-04-21 00:00:00,4,it is fun lol,2019-04-21,GAME ACTION,2019-04-21_GAME_ACTION_1207,Teen,it is fun,3,2019-04-21 00:00:00,2019,4,3,0
Helix Jump,Nagham Nassar,2019-04-13 00:00:00,4,"its an incredible game to play .. but the only problem is the "" too much ads "" , i just wish that they can reduce the amount of ads .. but in general i can say that the game is very exciting ...❤🤯",2019-04-14,GAME ACTION,2019-04-14_GAME_ACTION_41801,Everyone,its an game to play but the problem is the too much ads i just wish that they can the amount of ads but in i can say that the game is very,33,2019-04-13 00:00:00,2019,4,2,7
Helix Jump,YOUTUBE_ RODY,2019-05-02 00:00:00,4,",great time killer . 4 stars because there is ads✌️🔥🤙",2019-05-09,GAME ACTION,2019-05-09_GAME_ACTION_36155,Everyone,great time killer stars there is,6,2019-05-02 00:00:00,2019,5,4,0
slither.io,,2019-03-21 00:00:00,4,It's not bad,2019-03-24,GAME ACTION,2019-03-24_GAME_ACTION_6141,Everyone,It not bad,3,2019-03-21 00:00:00,2019,3,0,0
Helix Jump,Lizzie Stockdale,2019-04-19 00:00:00,2,IT LAGS SOOOO MUCH (I would usually give a bigver review but this is all I have to say about this app),2019-04-21,GAME ACTION,2019-04-21_GAME_ACTION_1129,Everyone,IT LAGS MUCH I would usually give a review but is all I have to say about,17,2019-04-19 00:00:00,2019,4,-3,7
Helix Jump,Rhi rhi,2019-03-02 00:00:00,2,"paid for ad free as the constant pop ups were driving me crazy, but there's still ads, very annoying!",2019-03-08,GAME ACTION,2019-03-08_GAME_ACTION_6211,Everyone,for ad free as the constant pop ups were driving me but there still ads very annoying,17,2019-03-02 00:00:00,2019,3,-2,5
Tomb of the Mask,Demetre nibba,2019-03-14 00:00:00,2,amazing ruined by ads,2019-04-01,GAME ACTION,2019-04-01_GAME_ACTION_17724,Everyone,ruined by ads,3,2019-03-14 00:00:00,2019,3,-2,5
Tomb of the Mask,Admiral Doge,2019-04-20 00:00:00,2,it kept asking me to be a member. Said no like 50 times....,2019-05-09,GAME ACTION,2019-05-09_GAME_ACTION_4948,Everyone,it kept asking me to be a member Said no like times,12,2019-04-20 00:00:00,2019,4,-3,7
Sniper 3D Gun Shooter: Free Elite Shooting Games,R Videos,2019-04-06 00:00:00,2,Amezing Android game this game is nice and not a boring game 👌👌👌👌👌,2019-04-01,GAME ACTION,2019-04-01_GAME_ACTION_13409,Mature 17+,Android game game is nice and not a boring game,10,2019-04-06 00:00:00,2019,4,3,0
slither.io,A Google User,2019-03-22 00:00:00,1,very very bad,2019-04-01,GAME ACTION,2019-04-01_GAME_ACTION_39146,Everyone,very very bad,3,2019-03-22 00:00:00,2019,3,-5,0
,A Google User,2019-03-22 00:00:00,1,This game is awful I can't believe how much this blows technology,2019-05-01,GAME ACTION,2019-05-01_GAME_ACTION_6522,,game is awful I ca how much blows,8,2019-03-22 00:00:00,2019,3,-5,0
Battle Royale: FPS Shooter,Vikram Singh,2019-04-14 00:00:00,1,Totally WORST game,2019-05-09,GAME ACTION,2019-05-09_GAME_ACTION_21701,Teen,Totally WORST game,3,2019-04-14 00:00:00,2019,4,-5,0
Tomb of the Mask,James B. Davis,2019-03-13 00:00:00,1,There's a ridiculous amount of ads on this game.,2019-04-01,GAME ACTION,2019-04-01_GAME_ACTION_28032,Everyone,There a amount of ads on game,7,2019-03-13 00:00:00,2019,3,0,0
Kick the Buddy,Annissa Richardson,2019-04-05 00:00:00,1,i can't play it,2019-04-01,GAME ACTION,2019-04-01_GAME_ACTION_38404,Teen,i ca play it,4,2019-04-05 00:00:00,2019,4,0,0
Helix Jump,Arva Coleman,2019-03-24 00:00:00,3,this game is hot,2019-03-24,GAME ACTION,2019-03-24_GAME_ACTION_419,Everyone,game is hot,3,2019-03-24 00:00:00,2019,3,4,0
slither.io,Emily-Rose Roberts,2019-04-20 00:00:00,3,well people kill me when i just start,2019-05-09,GAME ACTION,2019-05-09_GAME_ACTION_44225,Everyone,well kill me when i just start,7,2019-04-20 00:00:00,2019,4,0,0
Kick the Buddy,Ismail Meškić My Last Name Is In My Name! xD,2019-05-03 00:00:00,3,"One Star Because Everytime I Open The App, it Instantly Stops! ( ͡° ̯ʖ ͡°) 　＿ ノ ヽ　ノ ＼＿ `/　`/ Ｙ Ｙ　ヽ ( 　 (三ヽ人　 / 　| |　ﾉ⌒＼ ￣￣ヽ　 ノ ヽ＿＿＿＞､＿＿_／ 　　 ｜( 王 ﾉ〈 　　 /ﾐ`ー―彡ヽ 　　/　ヽ_／　 |",2019-05-09,GAME ACTION,2019-05-09_GAME_ACTION_37085,Teen,One Star I Open The it Stops,7,2019-05-03 00:00:00,2019,5,-4,0
Kick the Buddy,Za Bessey,2019-03-05 00:00:00,3,its fine but they should add a tank,2019-03-08,GAME ACTION,2019-03-08_GAME_ACTION_472,Teen,its fine but they should add a tank,8,2019-03-05 00:00:00,2019,3,2,5
,roslina ibrahim,2019-03-15 00:00:00,3,I like this game but i can't shoot...can you make it like PUBG Please.....and one more..I like your game I m not angry at you okay,2019-05-01,GAME ACTION,2019-05-01_GAME_ACTION_9094,,I like game but i ca shoot can you make it like one like your game I m not at you,21,2019-03-15 00:00:00,2019,3,0,0
,daniel carrillo,2019-04-28 00:00:00,5,Didn't trust this app that much but got lucky and get to meet a wonderful girl nowadays its my girlfriend,2019-05-01,LIFESTYLE,2019-05-01_LIFESTYLE_32758,,Did trust that much but got and get to meet a wonderful girl nowadays its my,16,2019-04-28 00:00:00,2019,4,4,0
Family Locator - GPS Tracker,ivy blue,2019-04-17 00:00:00,5,I love this app it shows me where my kids are and myself to them( when it pleases me) lol. I have no issue to report,2019-04-21,LIFESTYLE,2019-04-21_LIFESTYLE_34103,Everyone,I love it shows me where my are and myself to them when it me I have no to report,20,2019-04-17 00:00:00,2019,4,3,0
Family Locator - GPS Tracker,A Google User,2019-03-12 00:00:00,5,works great helps keep track of my kids driving and when she is with friends.,2019-04-01,LIFESTYLE,2019-04-01_LIFESTYLE_32043,Everyone,works great helps keep track of my driving and when she is with friends,14,2019-03-12 00:00:00,2019,3,4,0
,Patrica Moczynski,2019-04-03 00:00:00,5,Great to win i will be home onthe 30th,2019-05-01,LIFESTYLE,2019-05-01_LIFESTYLE_12456,,Great to win i will be home,7,2019-04-03 00:00:00,2019,4,3,0
SmartThings,Drewster Rodriguez,2019-03-08 00:00:00,5,very good app.. very pleased,2019-04-01,LIFESTYLE,2019-04-01_LIFESTYLE_35472,Everyone,very good very,3,2019-03-08 00:00:00,2019,3,4,0
Family Locator - GPS Tracker,Billy Vaden,2019-03-01 00:00:00,4,pretty accurate most of the time.,2019-03-13,LIFESTYLE,2019-03-13_LIFESTYLE_7403,Everyone,most of the time,4,2019-03-01 00:00:00,2019,3,0,0
The PCH App,A Google User,2019-03-08 00:00:00,4,"I've never knew anyone who wins , I'm starting to feel like it's a scam",2019-04-01,LIFESTYLE,2019-04-01_LIFESTYLE_29029,Everyone,I never knew who wins I starting to feel like it a scam,13,2019-03-08 00:00:00,2019,3,-3,0
Tinder,broody dylann,2019-05-08 00:00:00,4,trying it out,2019-05-09,LIFESTYLE,2019-05-09_LIFESTYLE_19270,Mature 17+,trying it out,3,2019-05-08 00:00:00,2019,5,0,0
Family Locator - GPS Tracker,Styme Engram,2019-02-26 00:00:00,4,I like it alot,2019-03-13,LIFESTYLE,2019-03-13_LIFESTYLE_14184,Everyone,I like it,3,2019-02-26 00:00:00,2019,2,3,0
Tinder,Reiner Zeidler,2019-03-15 00:00:00,4,"Pretty nice app to get better friends, but too many scammers (including sugar babes)",2019-03-24,LIFESTYLE,2019-03-24_LIFESTYLE_20444,Mature 17+,nice to get better friends but too many sugar babes,10,2019-03-15 00:00:00,2019,3,2,0
Tinder,,2019-03-15 00:00:00,2,Missing some simple yet crucial functionality. Sort matches by distance. Notify me when a match it under xKM. Rate matches. Add notes to matches. Pretty bland app with little effort and high focus in making money.,2019-03-24,LIFESTYLE,2019-03-24_LIFESTYLE_4656,Mature 17+,Missing some yet crucial functionality Sort matches by me when a match it under Rate matches Add notes to matches bland with effort and high in making money,28,2019-03-15 00:00:00,2019,3,-3,10
Tinder,Paddy O'Reilly,2019-05-06 00:00:00,2,Why does it Keep Crashing Everytime I open my messages?,2019-05-09,LIFESTYLE,2019-05-09_LIFESTYLE_2055,Mature 17+,does it Keep Crashing I open my,7,2019-05-06 00:00:00,2019,5,-4,0
The PCH App,Eric Tarbox,2019-04-08 00:00:00,2,Although this app isn't optimised for my tablet it still works moderately well. It is clunky and locks up at odd intervals. I have used the Apple version and it is well polished and is very smooth. You can't win if you don't play the games.,2019-05-09,LIFESTYLE,2019-05-09_LIFESTYLE_9385,Everyone,Although is for my tablet it still works well It is and locks up at odd I have used the version and it is well polished and is very smooth You ca win if you do play the games,39,2019-04-08 00:00:00,2019,4,3,0
Tinder,josh Weasle,2019-03-13 00:00:00,2,Lol. Got a match. Asked her 3 questions and nothing back from her at all. just random bot questions each time and never heard back. Most of these chicks are bots. Don't waste your time......,2019-03-13,LIFESTYLE,2019-03-13_LIFESTYLE_87,Mature 17+,Got a match Asked her questions and back from her at all just random bot questions each time and never back Most of these chicks are bots Do waste your time,31,2019-03-13 00:00:00,2019,3,-5,0
Google Home,Janice Bolser,2019-03-09 00:00:00,2,I am not familiar with it yet.,2019-04-01,LIFESTYLE,2019-04-01_LIFESTYLE_35926,Everyone,I am not familiar with it yet,7,2019-03-09 00:00:00,2019,3,0,0
Ms.Sibyl - See Future Me,DANZA 1,2019-04-08 00:00:00,1,i would rate this 0 stars if i could,2019-05-09,LIFESTYLE,2019-05-09_LIFESTYLE_24612,Everyone,i would rate stars if i could,7,2019-04-08 00:00:00,2019,4,0,0
Unicorn Slime Maker and Simulator,A Google User,2019-02-24 00:00:00,1,this is the worst app ever.,2019-04-01,LIFESTYLE,2019-04-01_LIFESTYLE_21630,Everyone,is the worst ever,4,2019-02-24 00:00:00,2019,2,-5,0
,Allison Barker,2019-03-24 00:00:00,1,"You basically need to pay for everything on this app, and it is NOTHING like the adds. don't download",2019-05-01,LIFESTYLE,2019-05-01_LIFESTYLE_1372,,You basically need to pay for on and it is like the adds do,14,2019-03-24 00:00:00,2019,3,-2,0
Fantastic Face – Daily face & Beauty Competition,A Google User,2019-03-28 00:00:00,1,it is sooooooooooooo [oooooooooooooooooooo bad i hate it ugh it is sssssssssssssssooooooooooooooooooooooooo bad,2019-04-01,LIFESTYLE,2019-04-01_LIFESTYLE_31201,Everyone,it is bad i hate it ugh it is bad,10,2019-03-28 00:00:00,2019,3,-5,0
Fantastic Face – Daily face & Beauty Competition,Erika Maya,2019-02-23 00:00:00,1,THIS IS THE WORST GAME EVERY YOU NEED TO PAY 3 APPS TO PLAY IT DO NOT DOWNLOAD!!!!,2019-04-01,LIFESTYLE,2019-04-01_LIFESTYLE_31276,Everyone,IS THE WORST GAME YOU NEED TO PAY TO PLAY IT DO NOT,13,2019-02-23 00:00:00,2019,2,-5,0
Tinder,Ingrid T,2019-03-07 00:00:00,3,"I'm not sure why I use this app. The type of person I'm looking for isn't there, but I was lucky enough to meet some cool people.",2019-03-13,LIFESTYLE,2019-03-13_LIFESTYLE_16560,Mature 17+,I not sure I use The type of person I looking for is there but I was enough to meet some cool,22,2019-03-07 00:00:00,2019,3,2,0
,Kaitlin Sprouse,2019-04-07 00:00:00,3,It's okay. The app could be better. After a while I get bored. So sometimes I go days even weeks of not playing it. But I'll keep playing. Maybe one day I'll win something.,2019-05-01,LIFESTYLE,2019-05-01_LIFESTYLE_26956,,It The could be better After a while I get bored So I go days even weeks of not playing it But I keep playing one day I win,29,2019-04-07 00:00:00,2019,4,3,0
,Stacy Payne,2019-05-01 00:00:00,3,its an ok app... it takes super long to load. and ive never came close to winning! And the update takes a lifetime!!!,2019-05-01,LIFESTYLE,2019-05-01_LIFESTYLE_30759,,its an it takes super long to load and never came close to winning And the takes a,18,2019-05-01 00:00:00,2019,5,-3,5
SmartThings,Jerry close,2019-04-07 00:00:00,3,can't do everything the original smarthings app can do but it has a more polished UI.,2019-04-14,LIFESTYLE,2019-04-14_LIFESTYLE_24948,Everyone,ca do the original can do but it has a more polished,12,2019-04-07 00:00:00,2019,4,3,0
,Cecilie Jude,2019-04-28 00:00:00,3,New still trying to figure out. Jus wish i could win something.,2019-05-01,LIFESTYLE,2019-05-01_LIFESTYLE_22341,,New still trying to out wish i could win,9,2019-04-28 00:00:00,2019,4,0,0
Pluto TV - It’s Free TV,Jordon Crump,2019-02-21 00:00:00,5,I asked for a channel specifically for sitcoms and I got it! Thank you guys very much! 5 stars for the app and for the prompt attention that I've received. Now all I can ask for is just a larger variety of sitcoms on this channel. You guys are doing great! p.s. please add a search feature for the on demand content.,2019-04-01,ENTERTAINMENT,2019-04-01_ENTERTAINMENT_21154,Teen,I asked for a channel for and I got it Thank you guys very much stars for the and for the prompt attention that I Now all I can ask for is just a of on channel You guys are doing great add a search for the on demand content,50,2019-02-21 00:00:00,2019,2,5,6
,Natalia Gatyan,2018-10-22 00:00:00,5,This game is very funny to do if your bored.,2019-05-01,ENTERTAINMENT,2019-05-01_ENTERTAINMENT_40723,,game is very to do if your bored,8,2018-10-22 00:00:00,2018,10,3,0
Netflix,Yolanda Gilbert,2019-04-18 00:00:00,5,Enjoyable and great movies!,2019-04-21,ENTERTAINMENT,2019-04-21_ENTERTAINMENT_2930,Teen,Enjoyable and great,3,2019-04-18 00:00:00,2019,4,4,0
Tubi - Free Movies & TV Shows,,2019-03-04 00:00:00,5,Love it good movie,2019-03-13,ENTERTAINMENT,2019-03-13_ENTERTAINMENT_20911,Teen,Love it good,3,2019-03-04 00:00:00,2019,3,3,0
Roku,Gamer kids Gamer kids,2019-03-22 00:00:00,5,its so cool because my bros always take it away!! bye i recomend using it!!,2019-04-01,ENTERTAINMENT,2019-04-01_ENTERTAINMENT_7365,Teen,its so cool my always take it away bye i using it,12,2019-03-22 00:00:00,2019,3,4,0
Tubi - Free Movies & TV Shows,Ila Roan,2019-05-04 00:00:00,4,finding a lot of good shows.. cant find golden girls though,2019-05-09,ENTERTAINMENT,2019-05-09_ENTERTAINMENT_41836,Teen,finding a lot of good cant find golden girls though,10,2019-05-04 00:00:00,2019,5,3,0
,Ayla's fun toys and games,2019-03-09 00:00:00,4,i think this bc i love it.but its not the best game ever,2019-05-01,ENTERTAINMENT,2019-05-01_ENTERTAINMENT_29470,,i think i love its not the best game ever,10,2019-03-09 00:00:00,2019,3,3,0
STARZ,Bryson Aperwhite,2019-04-08 00:00:00,4,How do I cancel my subscription?,2019-05-09,ENTERTAINMENT,2019-05-09_ENTERTAINMENT_14125,Mature 17+,How do I cancel my subscription,6,2019-04-08 00:00:00,2019,4,0,0
Amazon Prime Video,Big Daddy Baleion,2019-04-08 00:00:00,4,"its alright? not the most exuberant review, I know. it's more than functional less than fantastic.",2019-04-14,ENTERTAINMENT,2019-04-14_ENTERTAINMENT_22605,Teen,its alright not the most review I know it more than functional less than fantastic,15,2019-04-08 00:00:00,2019,4,0,0
Bitmoji – Your Personal Emoji,vanessa nava,2019-03-27 00:00:00,4,could use way more outfits to mix and match,2019-04-01,ENTERTAINMENT,2019-04-01_ENTERTAINMENT_17049,Teen,could use way more outfits to mix and match,9,2019-03-27 00:00:00,2019,3,0,5
,Amanda w,2019-04-23 00:00:00,2,stop playing previews of shows as im browsing. there should be an option to turn that off!!,2019-05-01,ENTERTAINMENT,2019-05-01_ENTERTAINMENT_14558,,stop playing previews of shows as there should be an option to turn that off,15,2019-04-23 00:00:00,2019,4,-1,4
,A Google User,2019-02-01 00:00:00,2,"Works great with Chromecast, but oddly it's really terrible to watch on my phone; the picture constantly freezes. Decent amount of movies, but not much for new releases.",2019-05-01,ENTERTAINMENT,2019-05-01_ENTERTAINMENT_33082,,Works great with but it to watch on my phone the Decent amount of but not much for new,19,2019-02-01 00:00:00,2019,2,2,2
Bitmoji – your personal emoji,DIVA SHAH,2019-04-08 00:00:00,2,there should be more options for the lip colour because its really hard to match it otherwise,2019-04-14,ENTERTAINMENT,2019-04-14_ENTERTAINMENT_6035,Teen,there should be more options for the lip colour its hard to match it,14,2019-04-08 00:00:00,2019,4,1,7
,Isaac C,2019-04-24 00:00:00,2,Hulu Live has so many glitches I probably cannot address them all in this review. One of them is it will jump back about 5 minutes from the live cast. Then you have to fast forward to the live cast or back out and come back to the show. It does this often. Also the format for recording is not user friendly. If you add favorite show it will automatically record everything. If you record one episode it will force you to add it to My Stuff. Not enough room for me to explain further my distaste.,2019-05-01,ENTERTAINMENT,2019-05-01_ENTERTAINMENT_35993,,Hulu Live has so many I probably can not address them all in review One of them is it will jump back about from the live cast Then you have to fast forward to the live cast or back out and come back to the show It does often Also the format for recording is not user If you add show it will automatically record If you record one it will you to add it to My Stuff Not enough room for me to explain further my,87,2019-04-24 00:00:00,2019,4,-4,10
Amazon Prime Video,PURGE,2019-04-17 00:00:00,2,Its Not having The Movies which i need,2019-04-21,ENTERTAINMENT,2019-04-21_ENTERTAINMENT_26640,Teen,Its Not having The which i need,7,2019-04-17 00:00:00,2019,4,-2,0
